Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
Russia,2003,Ebola,Infectious,13.46,4.14,8.24,36-60,Female,768275,52.17,1.16,5.27,Therapy,25688,No,75.72,485,4.94,90551,0.46,87.5
Nigeria,2010,Cancer,Chronic,2.02,8.0,1.97,0-18,Male,550530,69.24,1.03,2.12,Medication,35582,Yes,82.11,3640,7.26,85657,0.44,36.94
UK,2011,Leprosy,Metabolic,12.63,3.24,2.42,19-35,Female,94488,55.25,2.82,4.94,Therapy,539,Yes,79.68,2372,3.48,91549,0.77,87.04
Russia,2003,COVID-19,Infectious,11.11,9.99,3.36,0-18,Male,550060,75.74,3.17,5.51,Vaccination,32660,Yes,51.76,2829,3.97,24590,0.81,75.84
Indonesia,2011,Cancer,Infectious,0.42,9.12,1.56,61+,Female,845235,73.34,1.39,2.69,Medication,27445,Yes,94.16,648,5.62,78262,0.51,37.45
China,2024,Diabetes,Bacterial,1.98,10.31,5.41,0-18,Male,697314,63.9,0.77,2.73,Vaccination,7238,Yes,90.1,3663,6.91,21967,0.88,76.4
France,2020,Dengue,Autoimmune,10.77,12.85,0.22,19-35,Female,396953,77.23,2.02,4.13,Therapy,41918,Yes,73.24,4283,4.19,44885,0.58,63.56
Russia,2024,Parkinson's Disease,Chronic,14.39,2.47,5.5,0-18,Other,794749,57.76,0.94,9.84,Medication,12194,Yes,57.55,3916,1.09,30412,0.51,43.78
Nigeria,2002,Polio,Cardiovascular,12.12,12.16,4.61,61+,Male,718258,67.2,1.56,2.04,Therapy,18231,Yes,60.99,521,1.96,51444,0.62,69.63
UK,2004,Influenza,Cardiovascular,8.22,1.85,5.77,19-35,Male,617027,67.39,1.64,3.0,Therapy,9626,No,75.47,2829,1.18,66139,0.56,25.67
Argentina,2004,COVID-19,Metabolic,10.24,6.55,2.05,61+,Other,589521,74.47,4.58,4.08,Vaccination,6527,No,75.52,4199,9.7,49300,0.57,74.51
Argentina,2009,Zika,Cardiovascular,18.65,8.36,3.77,36-60,Female,879978,98.21,4.2,8.41,Vaccination,9178,No,73.82,23,9.73,18995,0.42,20.37
USA,2007,Cholera,Viral,7.65,9.99,8.25,36-60,Female,790267,52.81,4.9,2.86,Medication,25703,Yes,56.93,2456,2.36,33709,0.69,66.64
Italy,2014,Tuberculosis,Autoimmune,4.75,8.89,8.39,0-18,Female,254664,67.58,4.32,7.01,Medication,35934,Yes,62.43,2331,2.74,9961,0.89,22.51
Brazil,2007,Rabies,Neurological,18.49,6.43,2.78,0-18,Other,179206,90.03,1.6,2.17,Therapy,25277,No,92.1,3762,6.4,1717,0.47,79.85
China,2020,Hypertension,Respiratory,1.76,6.09,0.2,0-18,Male,504049,94.87,0.54,6.13,Vaccination,1673,No,73.77,426,2.66,89929,0.49,23.42
South Africa,2015,Polio,Genetic,16.56,1.91,5.39,19-35,Other,501525,92.47,1.33,7.77,Vaccination,30718,No,58.44,2156,3.0,33074,0.41,46.44
Italy,2019,Hepatitis,Neurological,13.51,8.2,6.14,19-35,Female,230429,65.98,1.27,3.55,Medication,48434,No,50.12,2331,5.02,56192,0.6,27.33
Saudi Arabia,2023,Rabies,Cardiovascular,18.19,10.61,7.76,61+,Male,709572,69.19,3.43,2.62,Medication,47047,Yes,87.57,2141,0.64,58296,0.65,84.56
Brazil,2018,COVID-19,Infectious,12.87,3.58,5.38,61+,Other,213163,87.8,1.91,9.43,Therapy,29044,Yes,88.16,3881,7.32,50415,0.47,50.7
India,2023,Rabies,Chronic,16.22,10.8,6.81,0-18,Other,658467,53.35,3.36,6.85,Medication,7772,No,55.83,1486,6.87,11061,0.64,20.6
Argentina,2017,Ebola,Neurological,9.12,14.54,4.73,61+,Male,238497,63.96,0.67,2.42,Medication,20983,Yes,85.82,3917,9.21,20407,0.78,55.7
South Korea,2022,Ebola,Viral,6.53,10.74,1.9,0-18,Female,772869,89.02,3.46,8.24,Medication,10755,No,90.1,438,1.78,19440,0.47,51.25
India,2020,Influenza,Metabolic,5.65,0.99,9.59,61+,Male,687925,98.49,4.42,9.57,Surgery,45699,No,68.61,782,1.81,27215,0.9,27.06
South Africa,2005,Ebola,Infectious,6.31,14.5,5.84,0-18,Other,859755,68.12,1.55,9.87,Surgery,39875,No,50.09,3655,8.65,71221,0.44,36.64
Indonesia,2015,Polio,Cardiovascular,11.48,14.01,0.15,19-35,Other,261546,75.02,2.73,2.97,Medication,32658,Yes,95.15,1586,7.64,17590,0.87,69.32
Russia,2017,Polio,Respiratory,10.89,8.23,9.72,0-18,Male,493712,50.86,1.66,2.59,Therapy,23686,Yes,56.32,973,1.96,72196,0.76,40.0
Japan,2003,Zika,Metabolic,10.45,4.41,7.21,36-60,Male,317609,93.2,1.45,8.83,Medication,32912,No,60.9,1106,8.13,57473,0.71,35.7
Mexico,2004,Parkinson's Disease,Viral,6.91,5.32,7.61,61+,Male,11928,63.04,2.96,8.09,Vaccination,21168,Yes,70.61,2352,6.14,82156,0.83,45.25
China,2024,Diabetes,Bacterial,2.41,10.35,2.82,61+,Female,530589,78.83,3.88,1.01,Therapy,4251,Yes,59.06,4926,1.16,65935,0.46,73.47
Brazil,2006,Hepatitis,Genetic,0.45,2.57,6.73,61+,Female,445675,62.06,1.39,7.14,Surgery,3409,No,84.99,1364,3.42,3478,0.45,71.32
South Korea,2006,Diabetes,Cardiovascular,9.1,9.75,6.01,61+,Other,685342,58.8,4.31,1.38,Therapy,21108,No,65.3,1030,2.97,50118,0.45,55.35
South Korea,2001,Dengue,Cardiovascular,6.66,5.88,2.0,0-18,Female,47095,64.3,1.04,2.37,Therapy,40933,Yes,69.43,1758,0.3,53799,0.61,27.4
Brazil,2007,Rabies,Chronic,12.81,8.34,10.0,0-18,Male,200382,68.93,1.94,2.64,Surgery,17886,No,61.87,4563,6.72,21908,0.71,71.46
China,2013,Dengue,Autoimmune,15.8,8.33,7.85,61+,Other,582371,56.13,0.82,9.24,Medication,25875,Yes,70.77,382,8.88,2009,0.6,23.99
China,2003,Hypertension,Respiratory,13.53,13.78,9.66,61+,Other,580391,90.89,0.65,9.58,Surgery,10436,No,79.89,2872,8.06,82812,0.57,29.23
UK,2022,Malaria,Genetic,10.45,13.09,1.03,19-35,Male,854233,72.09,4.39,7.57,Medication,31398,No,80.83,2507,4.62,2045,0.89,43.78
South Korea,2022,Parkinson's Disease,Respiratory,9.59,10.31,6.9,19-35,Male,580690,58.92,1.8,0.73,Therapy,37040,No,92.63,4846,7.95,7078,0.44,74.81
Nigeria,2016,Hypertension,Infectious,7.99,2.49,8.21,19-35,Male,890239,70.06,2.96,6.36,Medication,24472,No,96.78,521,4.16,59072,0.44,84.29
Nigeria,2013,Ebola,Respiratory,2.71,6.29,0.81,19-35,Female,378687,59.98,4.76,4.79,Vaccination,5399,Yes,57.92,3691,8.55,75929,0.83,44.67
Saudi Arabia,2021,Alzheimer's Disease,Metabolic,3.3,10.3,4.37,36-60,Female,160476,55.46,3.36,5.01,Therapy,37195,Yes,76.84,119,4.99,68219,0.49,21.34
France,2022,Tuberculosis,Viral,14.83,12.15,3.79,36-60,Female,653170,65.12,2.33,4.1,Surgery,22428,Yes,67.29,3214,4.15,7669,0.61,40.36
China,2022,Alzheimer's Disease,Respiratory,10.4,6.6,8.51,61+,Male,942391,73.21,2.56,8.58,Vaccination,27189,Yes,67.43,115,5.11,53115,0.5,20.71
South Africa,2002,Hepatitis,Autoimmune,17.36,2.81,7.92,0-18,Male,157914,83.52,0.79,5.74,Vaccination,7958,Yes,53.78,4903,2.83,6720,0.67,79.22
France,2019,Cancer,Bacterial,13.07,10.8,8.09,36-60,Male,371054,87.41,1.84,1.79,Therapy,48062,No,78.41,4989,1.4,23862,0.64,41.87
Mexico,2007,Measles,Cardiovascular,2.79,1.81,0.52,19-35,Male,804448,58.96,4.03,4.21,Therapy,21571,No,86.66,3805,5.25,55003,0.65,26.67
Japan,2018,Alzheimer's Disease,Metabolic,17.83,13.07,9.52,19-35,Male,254044,94.08,1.51,5.2,Surgery,9477,No,59.86,3972,1.29,15969,0.46,46.9
South Korea,2001,Dengue,Infectious,2.95,10.28,1.01,36-60,Male,82429,67.03,0.5,7.12,Surgery,29777,No,55.51,4417,7.95,19241,0.72,43.94
Brazil,2016,Malaria,Bacterial,1.79,7.6,0.57,61+,Male,171438,53.72,4.74,3.23,Medication,17926,Yes,58.16,2,8.41,40928,0.77,75.84
Turkey,2017,Asthma,Parasitic,18.87,8.74,8.54,61+,Female,85105,78.55,0.93,7.64,Vaccination,35211,No,69.94,4225,0.07,7852,0.65,78.67
Saudi Arabia,2021,Asthma,Infectious,2.01,5.1,6.7,0-18,Other,35153,71.68,2.96,7.39,Therapy,4941,No,56.58,2219,4.89,74216,0.44,36.03
Mexico,2006,Zika,Respiratory,3.7,3.19,1.85,36-60,Male,905157,81.97,2.33,1.92,Therapy,39355,No,58.65,1591,1.47,21448,0.76,49.97
France,2012,Malaria,Bacterial,0.37,13.79,1.49,36-60,Male,31312,56.89,1.49,0.64,Medication,6805,No,86.24,4340,5.47,23700,0.87,30.45
Australia,2005,Asthma,Viral,7.17,1.91,5.25,19-35,Male,395140,62.99,4.67,0.59,Medication,20449,Yes,72.65,4376,5.23,88773,0.58,88.81
Australia,2011,Diabetes,Autoimmune,3.46,6.67,9.23,61+,Other,803132,92.12,3.56,6.13,Medication,38321,No,83.7,1729,2.15,56736,0.67,68.45
France,2018,Alzheimer's Disease,Viral,11.95,7.68,0.84,0-18,Other,317089,76.35,4.14,0.64,Medication,49088,No,79.34,4683,1.33,4072,0.83,53.18
Saudi Arabia,2015,HIV/AIDS,Chronic,13.67,7.27,6.95,0-18,Female,720731,65.44,3.85,1.7,Vaccination,49558,Yes,88.16,572,7.64,9378,0.73,80.43
Italy,2014,Cancer,Parasitic,6.06,8.99,5.35,19-35,Female,188625,89.23,1.03,1.37,Surgery,40529,Yes,61.82,3071,3.38,83753,0.79,58.09
Argentina,2014,Alzheimer's Disease,Viral,3.74,5.29,9.83,19-35,Male,672324,52.11,4.44,8.04,Vaccination,16850,No,72.45,2364,3.5,46467,0.89,22.78
Nigeria,2023,Influenza,Neurological,11.43,7.92,4.73,36-60,Female,805503,67.4,3.46,6.84,Surgery,35892,No,81.13,1365,6.78,83192,0.86,74.07
Saudi Arabia,2007,Asthma,Chronic,2.73,7.05,0.62,36-60,Male,188387,65.41,0.74,4.95,Vaccination,16383,Yes,90.98,1562,3.57,77761,0.8,48.63
Brazil,2002,Tuberculosis,Infectious,5.74,9.85,9.51,0-18,Female,106334,76.08,4.24,3.53,Surgery,14692,No,90.47,1072,8.82,54395,0.43,84.49
Saudi Arabia,2004,Cholera,Metabolic,14.08,3.7,3.07,36-60,Male,155990,74.34,2.7,2.42,Medication,5572,No,82.14,3871,4.57,75857,0.81,52.37
France,2015,Diabetes,Parasitic,3.54,2.38,1.35,36-60,Other,554355,80.14,4.62,4.85,Therapy,27300,Yes,86.56,1679,0.14,96654,0.62,52.68
Nigeria,2005,Influenza,Viral,5.58,8.25,1.31,36-60,Other,633655,84.13,1.3,8.95,Surgery,17043,No,50.1,3892,3.89,48046,0.46,77.3
Germany,2012,Diabetes,Autoimmune,16.96,0.34,3.25,61+,Male,604755,94.99,1.19,8.63,Surgery,23386,No,83.74,3033,9.25,37456,0.89,77.12
Brazil,2020,Ebola,Metabolic,7.78,5.99,7.75,0-18,Female,529254,88.09,4.84,8.94,Vaccination,27988,No,98.46,4054,3.15,43332,0.81,31.77
Russia,2013,Cancer,Infectious,18.22,3.95,6.66,61+,Other,398809,70.79,3.24,0.57,Therapy,32352,No,74.98,783,3.24,61446,0.69,32.69
Nigeria,2002,Diabetes,Metabolic,8.9,1.32,2.83,61+,Other,327676,61.14,3.54,9.16,Medication,39634,No,66.07,4767,5.24,81071,0.41,87.43
Turkey,2008,Zika,Metabolic,17.45,3.94,1.17,36-60,Male,821911,84.98,4.05,9.16,Therapy,17938,Yes,79.53,1332,1.75,51906,0.76,65.68
Australia,2003,HIV/AIDS,Neurological,9.83,0.33,7.49,36-60,Female,515564,50.91,4.95,6.22,Surgery,10004,Yes,91.76,5000,4.62,66529,0.41,63.52
Germany,2007,Leprosy,Cardiovascular,6.02,10.13,7.74,61+,Male,42456,77.43,3.57,8.94,Vaccination,28169,Yes,53.57,637,9.51,81611,0.77,48.04
Brazil,2019,Diabetes,Autoimmune,1.0,1.04,1.46,19-35,Female,188608,78.05,4.94,7.99,Vaccination,15189,Yes,79.87,2249,2.71,6277,0.56,89.21
Italy,2024,Cholera,Autoimmune,7.37,4.95,8.2,36-60,Female,132540,69.39,0.69,6.57,Surgery,42602,No,57.58,4133,3.19,24610,0.76,36.46
China,2008,Asthma,Respiratory,13.53,4.44,8.12,19-35,Other,954713,91.49,3.08,6.76,Medication,49626,No,67.1,3830,5.78,60475,0.52,35.74
Argentina,2017,Hypertension,Genetic,9.96,9.2,1.21,19-35,Male,727826,53.13,4.8,2.92,Vaccination,49907,Yes,92.06,4274,1.89,86501,0.43,35.59
Australia,2020,Dengue,Neurological,1.06,14.71,3.65,36-60,Other,712100,80.87,4.09,2.14,Medication,32544,Yes,56.73,63,5.97,71050,0.48,83.58
Germany,2022,Polio,Respiratory,7.68,4.49,4.06,0-18,Male,417558,51.04,3.1,4.4,Vaccination,35615,No,84.27,2968,0.18,75603,0.48,28.12
Italy,2023,Influenza,Autoimmune,7.49,4.47,5.85,36-60,Female,776980,74.1,3.16,6.43,Therapy,11633,No,66.21,1036,7.62,6108,0.46,83.6
Brazil,2015,Parkinson's Disease,Infectious,5.51,2.28,7.96,19-35,Male,558917,63.07,4.44,9.59,Medication,10772,No,68.59,1572,6.73,92993,0.82,72.93
USA,2009,Parkinson's Disease,Metabolic,11.13,12.72,7.69,0-18,Female,875631,69.62,2.41,0.81,Surgery,35411,No,71.28,3219,3.18,26971,0.5,61.23
Indonesia,2019,COVID-19,Bacterial,13.48,13.43,0.92,61+,Female,780683,91.52,0.73,7.33,Vaccination,42484,No,90.01,4394,7.55,85306,0.43,77.69
Australia,2014,Asthma,Infectious,3.73,1.07,0.55,36-60,Other,821374,51.44,1.41,8.33,Vaccination,30857,Yes,63.83,527,4.91,87233,0.82,72.83
Mexico,2009,Diabetes,Respiratory,19.1,4.02,3.97,0-18,Other,436653,98.4,2.41,5.18,Surgery,45868,No,65.06,802,5.6,5368,0.8,54.27
Italy,2001,Rabies,Autoimmune,14.83,11.29,1.54,19-35,Female,905415,95.19,1.11,5.17,Therapy,2847,Yes,65.58,4495,5.04,46739,0.41,23.65
Russia,2022,Zika,Cardiovascular,11.16,3.63,3.33,19-35,Other,516729,87.76,0.77,5.71,Medication,2660,Yes,82.29,400,7.14,73212,0.61,37.93
UK,2007,Malaria,Cardiovascular,13.43,10.93,8.37,0-18,Other,140846,68.81,4.06,7.73,Medication,40348,No,79.84,2511,2.3,27828,0.88,61.22
India,2001,Hepatitis,Metabolic,5.99,7.34,4.3,19-35,Female,14112,53.61,0.66,5.28,Vaccination,11520,Yes,86.48,3135,6.34,27901,0.89,22.7
South Africa,2007,Measles,Autoimmune,6.1,2.26,4.59,0-18,Male,780992,75.86,3.25,8.61,Surgery,49050,No,63.09,1814,3.67,39052,0.46,54.28
India,2002,Hypertension,Parasitic,15.56,1.35,6.94,36-60,Female,240259,85.59,1.87,5.12,Vaccination,7804,Yes,50.45,1752,4.85,63965,0.61,42.48
South Korea,2023,Leprosy,Parasitic,8.78,10.91,7.64,61+,Female,695371,77.19,4.58,6.8,Therapy,30462,Yes,72.03,1709,4.12,66757,0.58,55.15
Brazil,2005,Tuberculosis,Respiratory,14.55,3.93,1.26,0-18,Male,196008,67.27,3.63,8.76,Vaccination,14089,No,80.71,2930,8.2,21724,0.55,45.3
India,2016,Asthma,Parasitic,13.91,8.82,7.44,36-60,Male,741639,58.69,4.95,6.36,Therapy,45887,No,75.47,2095,7.35,50405,0.5,46.62
Mexico,2024,Influenza,Autoimmune,16.73,5.31,9.53,19-35,Female,423550,69.28,1.53,5.61,Therapy,48160,Yes,69.89,2738,8.99,43365,0.77,45.78
USA,2019,Rabies,Chronic,15.64,6.09,4.86,0-18,Male,591768,87.12,1.97,8.49,Therapy,48981,Yes,77.75,519,4.35,44135,0.82,39.77
France,2016,COVID-19,Viral,13.79,10.33,7.78,0-18,Female,85861,84.09,4.1,7.13,Therapy,17834,No,57.63,3373,9.76,18032,0.68,66.99
Argentina,2019,Influenza,Metabolic,3.82,8.25,9.87,19-35,Female,478707,60.51,4.7,7.01,Surgery,18840,Yes,82.06,3523,9.12,51858,0.48,25.92
Turkey,2000,Parkinson's Disease,Cardiovascular,17.33,10.76,1.54,61+,Male,336858,73.2,4.8,8.92,Surgery,16132,No,62.43,2891,9.48,78561,0.54,66.76
South Africa,2022,Influenza,Infectious,10.84,9.86,2.12,19-35,Female,399790,99.78,4.35,3.59,Medication,9126,No,79.37,960,1.87,53132,0.8,71.31
UK,2021,Dengue,Neurological,3.11,6.24,7.02,0-18,Female,595135,98.91,2.22,7.66,Surgery,21601,No,71.94,3313,4.36,72842,0.81,51.08
Turkey,2002,Parkinson's Disease,Autoimmune,6.1,7.23,4.3,61+,Male,736127,76.08,1.1,1.84,Vaccination,48272,No,86.71,626,2.99,95456,0.78,27.78
Brazil,2017,Diabetes,Bacterial,13.2,11.47,4.6,19-35,Male,203787,89.59,4.12,5.63,Vaccination,26392,Yes,71.94,1677,7.86,74550,0.48,56.18
Turkey,2024,Hepatitis,Parasitic,11.56,10.1,1.92,36-60,Female,60093,69.05,1.49,9.17,Medication,47751,No,50.9,3413,8.33,40852,0.54,84.52
Argentina,2014,Influenza,Parasitic,0.12,9.89,3.99,36-60,Male,668992,57.64,1.02,1.62,Vaccination,15214,Yes,53.48,4485,2.36,14983,0.65,88.48
Japan,2003,HIV/AIDS,Bacterial,0.8,10.86,4.8,19-35,Female,928617,63.15,1.08,8.45,Therapy,15329,Yes,84.01,868,1.34,76140,0.75,70.11
Turkey,2014,HIV/AIDS,Parasitic,9.72,2.89,4.82,0-18,Other,391513,91.84,4.92,5.79,Medication,48392,Yes,78.37,3563,6.5,41263,0.85,23.85
Nigeria,2011,Asthma,Neurological,10.44,2.35,8.42,19-35,Other,115373,58.63,3.79,7.05,Therapy,49400,No,88.03,4013,2.35,66828,0.79,88.81
India,2009,Parkinson's Disease,Viral,11.57,13.23,4.41,19-35,Female,995629,52.62,1.11,1.48,Medication,7545,Yes,52.04,1251,4.46,82848,0.55,36.26
Germany,2009,Dengue,Chronic,4.27,6.73,9.14,19-35,Female,97041,94.44,2.05,5.5,Surgery,48017,No,86.04,1374,4.6,12181,0.58,65.5
Canada,2016,Cholera,Bacterial,13.53,9.76,3.1,61+,Female,476152,77.4,2.55,6.41,Medication,47163,No,80.56,1109,1.92,68031,0.85,50.73
Russia,2010,HIV/AIDS,Infectious,11.76,11.58,2.04,61+,Female,38452,57.24,4.11,6.25,Surgery,7722,Yes,77.92,3153,6.36,59104,0.75,26.26
Italy,2006,COVID-19,Parasitic,16.8,8.91,3.32,0-18,Other,903466,97.22,3.92,4.78,Therapy,1115,Yes,78.74,1720,5.91,84797,0.42,76.4
Indonesia,2011,Parkinson's Disease,Chronic,6.76,11.74,1.57,19-35,Female,901519,53.98,4.04,9.34,Vaccination,21923,Yes,95.66,1541,0.51,87325,0.86,54.44
Turkey,2015,Rabies,Genetic,9.24,8.79,7.5,61+,Male,431888,86.56,1.47,4.87,Medication,38515,Yes,96.65,3282,5.78,38033,0.73,52.46
Italy,2012,Influenza,Viral,6.45,9.96,8.9,19-35,Other,203654,68.58,1.06,3.16,Surgery,14291,No,51.53,2152,0.31,45300,0.55,32.66
Argentina,2012,HIV/AIDS,Chronic,3.76,10.96,2.1,19-35,Other,52530,60.9,2.67,1.82,Vaccination,26605,Yes,62.87,486,6.16,79129,0.54,73.87
South Africa,2024,Leprosy,Viral,3.7,10.52,2.88,36-60,Male,290747,51.89,1.05,2.93,Medication,23668,No,88.97,4262,4.26,14516,0.72,79.86
Nigeria,2022,Asthma,Viral,19.34,10.75,3.82,19-35,Female,948537,62.0,4.81,5.08,Therapy,15715,No,70.12,2087,6.9,75571,0.55,53.57
South Africa,2009,Malaria,Viral,18.28,4.46,1.25,36-60,Male,165364,69.57,2.5,0.91,Vaccination,33419,Yes,80.02,2378,6.47,89634,0.7,81.89
Saudi Arabia,2015,COVID-19,Chronic,13.91,10.91,3.56,19-35,Other,885216,57.26,3.75,2.98,Vaccination,46830,Yes,77.48,3065,5.8,25760,0.53,48.5
France,2024,Rabies,Neurological,19.62,13.84,1.03,36-60,Other,468993,91.28,1.94,8.37,Surgery,13891,Yes,60.84,486,0.81,82285,0.62,57.77
USA,2016,Hepatitis,Parasitic,11.29,9.94,3.8,0-18,Female,806441,58.48,0.6,1.8,Vaccination,39124,Yes,91.24,559,3.2,13906,0.79,31.18
Argentina,2012,COVID-19,Parasitic,2.57,3.7,0.2,36-60,Female,402451,81.66,3.54,9.15,Vaccination,11309,Yes,91.93,3563,0.35,34205,0.63,40.44
Turkey,2015,Parkinson's Disease,Neurological,16.15,5.43,9.68,36-60,Female,830307,82.97,1.15,9.05,Surgery,18745,No,56.15,4340,5.69,31345,0.72,78.69
Turkey,2000,Alzheimer's Disease,Bacterial,12.67,7.58,7.0,36-60,Male,957220,76.5,2.66,9.13,Therapy,10370,Yes,67.62,654,9.66,27637,0.7,64.91
Russia,2024,Dengue,Bacterial,5.84,8.13,9.98,0-18,Male,898112,99.72,4.36,3.7,Vaccination,30393,Yes,85.88,3470,5.35,23200,0.53,80.35
South Africa,2000,Polio,Parasitic,16.0,4.56,4.44,36-60,Other,120982,96.6,1.78,2.55,Vaccination,3856,No,87.66,957,7.61,25429,0.79,79.85
Italy,2022,Measles,Genetic,3.67,7.26,6.44,0-18,Male,541050,55.54,3.42,0.84,Therapy,34164,Yes,59.71,4791,3.61,10138,0.77,56.22
Turkey,2000,Leprosy,Viral,18.11,14.56,2.17,61+,Female,531567,72.0,1.47,2.14,Medication,31606,Yes,83.28,814,3.09,97064,0.42,82.76
Turkey,2019,Ebola,Parasitic,9.52,4.97,7.82,0-18,Other,768715,85.6,2.03,8.96,Medication,13061,Yes,63.41,2789,2.81,59586,0.82,31.15
Germany,2024,Parkinson's Disease,Metabolic,6.11,9.32,5.44,61+,Male,88631,68.67,3.05,9.74,Medication,1266,No,80.56,953,2.93,72748,0.73,26.1
Turkey,2008,Parkinson's Disease,Respiratory,9.23,3.98,3.21,36-60,Male,505120,57.87,3.13,4.06,Medication,38697,Yes,92.74,3398,9.05,48017,0.89,76.9
France,2003,Tuberculosis,Bacterial,4.29,4.66,5.79,19-35,Other,357501,98.56,2.56,6.74,Therapy,43600,No,58.53,4200,2.03,48671,0.51,39.62
Saudi Arabia,2008,Malaria,Cardiovascular,14.41,7.72,0.82,0-18,Male,160453,82.7,1.8,8.94,Medication,20961,No,61.3,3664,4.71,15078,0.66,72.63
South Africa,2024,Ebola,Genetic,1.68,4.92,7.64,36-60,Female,646620,50.72,2.5,7.85,Therapy,36031,Yes,57.67,2359,3.09,39166,0.77,87.05
Canada,2020,Parkinson's Disease,Chronic,14.65,12.64,3.21,36-60,Male,915105,67.29,0.55,6.22,Vaccination,25172,Yes,80.22,4386,9.69,88888,0.58,85.35
Saudi Arabia,2003,Hypertension,Infectious,1.32,9.27,3.86,36-60,Female,134304,92.71,3.17,1.04,Medication,43116,No,70.12,1033,4.94,64626,0.41,70.32
Russia,2010,Ebola,Parasitic,4.39,8.92,5.98,0-18,Male,418722,99.6,3.6,7.49,Medication,47765,Yes,91.96,3707,4.64,94642,0.75,71.43
UK,2010,Alzheimer's Disease,Parasitic,4.67,9.47,0.96,61+,Male,728746,51.25,3.16,9.75,Vaccination,41889,No,93.29,366,4.7,41414,0.49,66.54
South Korea,2004,Asthma,Genetic,12.97,3.35,5.37,0-18,Male,788277,77.85,0.7,2.79,Medication,49685,No,50.42,4046,5.97,45719,0.87,30.55
France,2000,Cancer,Bacterial,11.09,4.01,5.54,19-35,Other,644390,57.98,0.62,6.39,Vaccination,18173,Yes,79.45,938,9.8,74602,0.61,67.94
Canada,2021,Parkinson's Disease,Bacterial,11.9,7.85,1.7,61+,Male,689812,85.83,2.0,3.55,Medication,5094,No,92.83,2026,9.14,82698,0.62,68.9
China,2009,Asthma,Autoimmune,10.57,9.7,0.65,61+,Male,678717,72.22,4.41,6.16,Medication,12838,No,80.37,1040,7.76,82663,0.71,24.31
Russia,2012,Alzheimer's Disease,Respiratory,13.43,9.85,7.09,61+,Other,133803,76.73,1.94,6.92,Surgery,43063,No,53.43,2077,3.08,88395,0.8,89.6
Canada,2015,Tuberculosis,Infectious,18.5,1.92,9.56,61+,Female,765271,72.87,0.61,2.12,Medication,31674,Yes,94.9,2854,4.07,23454,0.63,60.89
South Korea,2001,Ebola,Bacterial,15.39,2.98,4.1,61+,Male,363119,66.5,1.3,8.98,Therapy,44577,No,69.95,4376,2.44,95227,0.71,88.8
Italy,2018,Asthma,Parasitic,15.26,13.58,9.95,36-60,Female,186883,64.71,1.5,6.95,Medication,27580,Yes,92.13,3647,4.27,69694,0.82,81.88
Saudi Arabia,2017,Zika,Bacterial,13.98,0.85,8.94,0-18,Other,279919,64.15,3.96,7.57,Medication,45851,No,61.72,4435,9.46,41606,0.49,50.37
France,2023,Leprosy,Viral,11.51,0.71,0.98,19-35,Male,800401,91.63,4.54,1.73,Vaccination,29611,No,92.89,2364,3.46,35487,0.45,48.79
Germany,2008,Influenza,Chronic,14.66,2.69,9.19,0-18,Female,412835,91.86,4.72,7.58,Medication,35934,Yes,84.33,1569,9.68,48759,0.74,58.45
Indonesia,2017,Measles,Bacterial,4.64,13.79,3.18,36-60,Other,455478,58.99,0.62,9.0,Therapy,36218,No,60.2,951,5.83,78927,0.66,84.78
Argentina,2011,HIV/AIDS,Genetic,8.95,4.36,1.34,36-60,Male,862579,89.91,3.26,4.41,Vaccination,10252,No,71.55,2427,4.38,49816,0.57,63.21
India,2000,Hypertension,Cardiovascular,7.72,7.14,7.37,61+,Female,290863,70.47,4.3,8.82,Vaccination,41634,No,59.07,3801,9.56,39309,0.81,57.27
Nigeria,2010,Cancer,Viral,18.74,1.54,9.39,19-35,Male,405124,59.27,0.96,1.17,Medication,46162,No,94.46,602,7.49,62181,0.79,52.11
Canada,2011,Hypertension,Genetic,11.91,4.46,7.07,36-60,Male,208640,88.79,3.73,3.77,Surgery,4692,No,82.65,2084,4.25,98985,0.57,70.36
Mexico,2009,Rabies,Viral,0.15,2.68,8.81,19-35,Female,239200,87.44,3.35,4.37,Surgery,39434,No,63.32,2942,2.23,96817,0.57,32.25
China,2003,Ebola,Parasitic,6.69,6.85,9.78,61+,Male,515148,77.46,2.91,9.08,Therapy,28738,No,73.0,4565,8.94,32895,0.8,86.36
Italy,2013,Malaria,Infectious,12.75,9.88,3.11,19-35,Other,554573,86.57,2.23,7.82,Vaccination,10078,Yes,92.57,4186,5.39,39791,0.51,84.14
Nigeria,2022,Hepatitis,Cardiovascular,4.38,7.81,7.45,0-18,Other,925829,81.06,4.88,9.46,Therapy,8705,Yes,61.64,4170,6.94,45877,0.49,66.34
Japan,2014,Rabies,Parasitic,2.74,14.11,2.18,19-35,Female,378946,56.83,1.74,5.24,Surgery,36627,Yes,57.48,4362,5.98,41273,0.72,81.36
